anime_name,anime_id,type,episodes,score,rank,popularity,scored_by,likes,aired_from,aired_to,duration,Storyline
Alps Monogatari: Watashi no Annette,2546,TV,48,6.73,4958,8006,1335,11,1983-01-09T00:00:00+00:00,1983-12-25T00:00:00+00:00,25 min per ep,"12-year-old Annette was born into a poor family in Switzerland. Together with her family she lives in a small village in the Alps. She is a sweet girl and dearly loves her little 5-year-old brother Dani, at whose birth their mother died. She also has a best friend, Lucien. Her wonderful friendship with him comes to a crisis when one day Dani gets injured in a terrible accident."
Shoukoujo Sara,2547,TV,46,7.67,1127,4296,8205,88,1985-01-06T00:00:00+00:00,1985-12-29T00:00:00+00:00,25 min per ep,"Sent to an all-girls boarding school due to her father's overseas job, Sarah Crewe is a promising young girl who excels both academically and socially in her new life in London. However, her world is turned upside down when she is called into the headmistress' office and informed of news that no child wants to hear: her father has passed away. Now an orphan, Sarah is stripped of her status as a student and is forced to work in the boarding school as a maid in order to support herself. To make matters worse, her once friendly peers suddenly turn against her upon hearing about her fall from wealth. Coming to terms with the unfortunate situation she faces, Sarah must learn to persevere and form new friendships in order to regain her dignity as well as her identity. [Written by MAL Rewrite]"
Ai no Wakakusa Monogatari,2548,TV,48,7.4,1956,6033,2506,33,1987-01-11T00:00:00+00:00,1987-12-27T00:00:00+00:00,24 min per ep,"Meg, faithful and gentle, Jo, independent and energetic, Beth, quiet and shy, Amy, amiable and precocious–the four sisters live vigorously and happily at home with their gentle mother while waiting for their father to return from the Civil War. Helping each other, they challenge their fates and grow up to become wonderful women."
Perrine Monogatari,2549,TV,53,7.53,1515,7151,1034,21,1978-01-01T00:00:00+00:00,1978-12-31T00:00:00+00:00,25 min per ep,"Perrine travels across Europe with her mother, a photographer, in a cabin drawn by a donkey. They are heading to a small village in northern France, the home of Perrine's dead father. Perrine doesn't know that they are unwanted in the village; Perrine's father left the village after having quarrelled with his father (Perrine's grandfather) and married in India against his father's will. After her mother falls ill, Perrine has to sell everything, including her beloved donkey Palikare, to pay for medicine. Mother dies in Paris and before dying tells the girl that she has to make her grandfather love her before he knows who she really is. After a journey full of hardships, Perrine finally arrives in the village where she learns that her grandfather is the rich owner of the factory that feeds all the villagers. Presenting herself under a false name, Perrine gets a job on the factory, searching for a way to the heart of her grandfather. (Source: ANN)"
Onboro Film,2550,Movie,1,6.37,6816,8870,1496,2,1985-08-17T00:00:00+00:00,,5 min,"A scene from an American animated piece called ""Dudley Do Right"" shows a scene in which a queen is tied to a railroad track with ropes and shouting, ""Help!"" This image was often used in serial action films of the silent comedy period. In this short film, a western-style hero fights a villain and saves a beautiful woman in the same situation. This classical scene, however, is marred, blurred and smudged because the film itself is very old. Not only does the hero have to fight the villain, but he also has to struggle hard against the bad condition of the film. (Source: AniDB)"
Nessa no Wakusei,2551,OVA,2,5.16,,9856,608,0,1994-07-21T00:00:00+00:00,1995-03-25T00:00:00+00:00,45 min per ep,"Kate, the voluptuous, virginal new recruit of the Federal Space Army Security Police, is the newest detective in the force. She's eager to prove her worth as an undercover agent, but that might not be as easy as she thinks. Her first assignment is to track down the villains who have been raping young women from the hot desert planet, Doune. (Source: ANN)"
Tetsuko no Tabi,2552,TV,13,6.28,7301,9147,397,7,2007-06-24T00:00:00+00:00,2007-09-23T00:00:00+00:00,24 min per ep,"Based on a seinen manga by Kikuchi Naoe and Yokomi Hirohiko, serialised in IKKI. The ""story"" is that a manga artist is asked by her boss to accompany him and a travel-writer on various train trips around Japan and draw a manga about it. The kicker though, is that it's completely non-fiction —the creator really did go on all these trips, and the manga simply records what happened, with no embellishment. There's a little disclaimer at the front that says ""This is non-fiction, so I apologize for the lack of drama,"" and indeed, it mostly is just about them riding trains from place to place, waiting on platforms, etc. The ""travel writer"" turns out to be a super train-otaku who has vast knowledge of the train network, but also micro-manages all their trips, planning every detail down to the second. He cares mostly about following the schedule and successfully achieving his planned goals (e.g. visiting all stations on a line in a completely bizarre order to accomodate infrequent trains). The mangaka doesn't really care about trains; she's cynical, sarcastic, and rather lazy (she mainly just looks forward to the next eki-ben); he's completely gung-ho as long as he's following the schedule, and the inevitable conflicts are pretty entertaining. Throughout, though, it feels real —if you've travelled by train in Japan it will all seem very familiar, not just the scenery, but also the atmosphere and feel— and the artist does a great job of pacing and applying little tweaks to keep it consistently entertaining. In an additional bit of recursiveness, some of the characters who show up in the manga (who of course are real people, who really did show up) do so because they (really) read previous episodes of the manga! In addition of course, you can learn about various out of the way and interesting Japanese train lines and stations; some of them really do look cool. There's always this vague sense of surreality about it however, the trips are all planned by the train-guy (goal: visit all 9,843 stations in Japan) who seems to consider everything as part of a checklist rather than an experience to be enjoyed. You learn a bit about train-otaku culture too; there's really only the one guy in the story, but train-otaku culture is a sort of constant peripheral presence. (Source: AniDB)"
Flanders no Inu,2553,TV,52,7.38,2033,6510,1372,17,1975-01-05T00:00:00+00:00,1975-12-28T00:00:00+00:00,26 min per ep,"Nello Tarth is a poor but happy orphan who lives with his grandfather Jehan in a little village nearby Antwerp. Nello has a talent for drawing pictures and has been fascinated by it since he saw one of Rubens (a famous artist) pictures as a little boy. Helping Jehan with the daily milk delivery to Antwerp, Nello one day discovers Patrash, a working dog who has been mistreated and abandoned by his former owner. He treats the exhausted animal and after a little while a close and dependable friendship develops. Alois Cojez, the daughter of the richest and hence most influential man in Blacken Village, is Nellos best friend. When Nello decides to become an artist he has to experience firsthand the ignorance and cruelty of the villagers. Especially Alois father thinks of him as a slacker who cannot earn his living by drawing pictures. Nontheless Nello perseveres and never gives up to achieve his dream and to win their appreciation and respect while strenuously struggling with his poverty. (Source: ANN)"
Ai Shoujo Pollyanna Story,2554,TV,51,6.96,3924,7217,1631,18,1986-01-05T00:00:00+00:00,1986-12-28T00:00:00+00:00,26 min per ep,"Motherless since birth, Pollyanna was an ordinary happy-go-lucky girl, leaving peacefully with her father, the vicar. Then one day her life changes completely when her father dies and she has to live with her aunt whom she has never met before. In the beginning, she seems to be detested by her but as time passes, they develop a very strong bond. (Source: ANN)"
Shoukoushi Cedie,2555,TV,43,7.35,2170,7936,1161,13,1988-01-10T00:00:00+00:00,1988-12-25T00:00:00+00:00,24 min per ep,"After his father's sudden death, Ceddie moves to England as an heir to his grandfather, the Earl of Dorincourt. The Earl is a stubborn and selfish old man. Gradually, however, Ceddie's innocent love opens the Earl's heart and changes him into a caring and generous person. This is based on ""Little Lord Fauntleroy"" by F.H.Burnett. (Source: AnimeNfo)"
Jungle Taitei (1989),2556,TV,52,6.7,5091,7715,1359,6,1989-10-12T00:00:00+00:00,1990-10-11T00:00:00+00:00,30 min per ep,"Leo (a.k.a. Kimba in the U.S.) is a young ambitious lion cub who takes his father's place as emperor of the jungle when is father is killed by poachers. Even though his father's fate was met by the hands of humans, Leo is one of the few animals in the Jungle that doesn't fear or feel hatred toward humans. He is not alone either, he is guided by friends of his father to help create the best animal kingdom there can be. (Source: ANN)"
Trapp Ikka Monogatari,2557,TV,40,7.63,1231,6242,2661,20,1991-01-13T00:00:00+00:00,1991-12-28T00:00:00+00:00,23 min per ep,"Based on the same story that produced the classic musical 'The Sound of Music', this is the story of Maria, who leaves her life in a convent to take up the responsibility of taking care of Captain Trapp's children. (Source: ANN)"
Wakakusa Monogatari: Nan to Jo-sensei,2558,TV,40,7.57,1399,6734,2193,31,1993-01-17T00:00:00+00:00,1993-12-19T00:00:00+00:00,25 min per ep,"Nan Harding is the new student at Mr. and Mrs. Bhaer's school. Everyone thinks that she is a pain in the head, but not Mrs. Jo. Together with the other kids, they all embark on their personal adventures and misfortunes while learning in school. (Source: ANN)"
Romeo no Aoi Sora,2559,TV,33,8.34,199,2738,14244,544,1995-01-15T00:00:00+00:00,1995-12-17T00:00:00+00:00,23 min per ep,"Romeo is a kindhearted and courageous boy living with his family in a small village in Switzerland. Unfortunately, Romeo becomes the interest of a man named Luini, known as ""The God of Death,"" who is infamous for buying children and selling them as chimney sweeps in Milan. While visiting the village, Luini burns down Romeo's family cornfield in an attempt to have Romeo as his own. With the cornfield gone and his father sustaining a head injury trying to put out the fire, Romeo bravely sells himself to the God of Death in order to help his family afford a doctor. On his way to Milan, Romeo meets a boy named Alfredo Martini and they quickly become friends. Just as Alfredo is sold to a different master, the two boys swear eternal friendship and vow to meet again. As a chimney sweep, Romeo faces many hardships and abuse, especially from his master's family and a gang known as the Wolf Pack. But after reuniting with Alfredo, the two form a fraternity of chimney sweeps called ""The Black Brothers,"" who will learn to fight against the Wolf Pack and help each other in times of need. [Written by MAL Rewrite]"
